k,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
1,5,0.00027123703309410815,0.9965389406938021,0.9965214837357568,0.9965389406938021,0.9965273860433568,0.8866516078907756,0.8719818983881199,0.8785006923632753
3,5,0.0003944624947477956,0.9955387305838308,0.9954727825131526,0.9955387305838308,0.9954896684638246,0.8956689541290622,0.852293140858874,0.8669805291990897
5,5,0.00047489214259822466,0.9951100690631177,0.9950573188109647,0.9951100690631177,0.9950572070542792,0.913999378765963,0.8539899189093983,0.8719415243856059
7,5,0.0004921468731863361,0.994419445133547,0.9943629703864116,0.994419445133547,0.9943628093711372,0.9196837696124656,0.8522257805736686,0.8729505850639736
11,5,0.0003194373319871924,0.9934668565895706,0.9933931304917312,0.9934668565895706,0.9933963299140072,0.9181593615805763,0.8438324848443021,0.8656868373669584
15,5,0.0005131290465732196,0.9927682970976737,0.9926984602592471,0.9927682970976737,0.9926954331249591,0.9209048848271701,0.838497491388367,0.862188431596481
21,5,0.0005551263685509725,0.9920697360303847,0.9919933986324884,0.9920697360303847,0.9919793583038802,0.9292689477960865,0.8246422387109996,0.8537375176055926
