class,precision,recall,f1,support
normal,0.6803613680361368,0.9771393265369169,0.8021810803956378,9711
dos,0.9581358609794629,0.8130026809651475,0.8796229151559101,7460
r2l,0.7873563218390804,0.04748700173310225,0.08957175547564564,2885
probe,0.8124076809453471,0.6815365551425031,0.7412398921832885,2421
u2r,0.20967741935483872,0.19402985074626866,0.20155038759689922,67
