n_estimators,max_depth,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
200,,5,0.0002758425281595046,0.997999571272943,0.9980242907581163,0.997999571272943,0.998008430494594,0.9243486810409995,0.9381149869358154,0.9299932556142112
200,20.0,5,0.00029887047187250544,0.9978646213421161,0.997895124303889,0.9978646213421161,0.9978750810283442,0.9236833485290866,0.9377096063655982,0.9294839498084431
300,,5,0.0002735516527121482,0.9979757563939275,0.998000752349401,0.9979757563939275,0.9979853143988606,0.9212446163927529,0.9376774723702386,0.928444797071535
500,,5,0.00027556034889150385,0.9979836944768804,0.9980066685199874,0.9979836944768804,0.9979919879718521,0.924316449547959,0.9375121725234802,0.9296820366070433
