max_iter,max_depth,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
100,,5,0.00025320256661229745,0.9989600966395591,0.9989603034333362,0.9989600966395591,0.9989600776447887,0.9989712665805746,0.9989390998822321,0.9989550596573764
100,10.0,5,0.00023912845522775127,0.9989918486562926,0.9989922124914152,0.9989918486562926,0.998991823400641,0.9990099372294774,0.9989643849560661,0.998986951912603
200,,5,0.00020888576475876396,0.9991585518641664,0.9991587203738972,0.9991585518641664,0.9991585380600269,0.9991689925445455,0.9991401639073618,0.9991544792187307
300,,5,0.00024240021810283553,0.9992220568428684,0.9992222612312538,0.9992220568428684,0.9992220394684364,0.9992372466855475,0.9991995595566306,0.9992182823953263
