n_estimators,max_depth,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
200,,2,0.0004266444684946155,0.996062645950456,0.9961581600338074,0.996062645950456,0.9960714222055054,0.781384865938336,0.7778681726830026,0.7642830680249952
200,20.0,2,0.0011114609426220439,0.9951021188197346,0.9954620710456592,0.9951021188197346,0.9951990030648321,0.777464357781976,0.7716428550394192,0.7558747313183942
300,,2,0.0003817384643475212,0.996126151874371,0.9962572462557265,0.996126151874371,0.9961534948824509,0.7791747225900278,0.7779861222109157,0.7629096728379334
500,,2,0.000381737929646097,0.9961737811282618,0.9962782005723727,0.9961737811282618,0.9961855361779094,0.7806065624855774,0.767245765487701,0.7557219912672526
