k,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
1,2,4.4844691722407157e-05,0.9946020181444435,0.994648893684368,0.9946020181444435,0.9945950223357969,0.7993308316921164,0.739912320297001,0.7519778945476245
3,2,0.0001011084660948626,0.9936256176204863,0.9934766666320669,0.9936256176204863,0.993537384442922,0.6735968330048265,0.6734058983661426,0.6649312945041193
5,2,0.0001234108606133811,0.9929905621622463,0.9926625635477555,0.9929905621622463,0.992812579572956,0.6375038283982091,0.6249442641201172,0.6289878461340388
7,2,6.726988932421262e-05,0.9921570499040826,0.9918717679508953,0.9921570499040826,0.9919971392111631,0.6312167971258216,0.6220123480883766,0.6243941203266852
11,2,0.00012358820323746003,0.9912124019639919,0.9909187926159432,0.9912124019639919,0.9910369474026741,0.597992791523071,0.6014443214971235,0.5959493223126491
15,2,0.00019095220000440004,0.9906726033751392,0.9902809826770385,0.9906726033751392,0.9904368811906059,0.594081140744495,0.5850778248039938,0.5808085605457787
21,2,6.747574935517387e-05,0.9895056873479828,0.9887670275960403,0.9895056873479828,0.9890938262978456,0.5419627335160677,0.5221607949021368,0.5296081637791263
