class,precision,recall,f1,support
normal,0.6799368768381034,0.9761095664710122,0.8015389819042787,9711
dos,0.9551653864242045,0.8167560321715818,0.8805549533925862,7460
r2l,0.9117647058823529,0.04298093587521664,0.08209202250910294,2885
probe,0.8110944527736131,0.6703841387856257,0.7340569877883311,2421
u2r,0.2988505747126437,0.3880597014925373,0.33766233766233766,67
