n_neighbors,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
1,5,0.0002683293962639965,0.9964595579738027,0.9965117454845679,0.9964595579738027,0.9964817961019035,0.8688871307907556,0.8882032231556176,0.8773647978397046
3,5,0.0003974562024037895,0.9953402744139886,0.9955388484485163,0.9953402744139886,0.9954192831271103,0.8568474275140154,0.9175203703035489,0.8798937016543155
5,5,0.00036863753313646293,0.9947449103155582,0.9950514166666844,0.9947449103155582,0.9948682562343738,0.8452438200750185,0.9207052436133443,0.8719631265847297
7,5,0.0004720615481951749,0.993927274853192,0.9943939858676589,0.993927274853192,0.9941136223821102,0.8332399924337933,0.9277446548791923,0.8632448145224625
11,5,0.00030352997689069694,0.9928953045344511,0.9934365863442028,0.9928953045344511,0.9931144317087526,0.8233596717223703,0.9182965435685956,0.8532320252907735
15,5,0.00034980165680151813,0.9922126193179901,0.9927858204824579,0.9922126193179901,0.9924415517417605,0.8197258866744559,0.918550185436923,0.8512207808687464
21,5,0.00034869465229224754,0.9913552918654673,0.9920578490322566,0.9913552918654673,0.9916434321267473,0.8084055586685354,0.905689193556341,0.8381145323373488
