max_iter,max_depth,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
100,,5,0.0002741324448892953,0.9991347335192893,0.9991431186298471,0.9991347335192893,0.9991303198491727,0.9497768131197866,0.9294764422041857,0.9356697726850214
100,10.0,5,0.00021078539247539464,0.9992141149789757,0.9992272570510601,0.9992141149789757,0.9992132713396644,0.9597545509062726,0.9484159574043375,0.9506035840295682
200,,5,0.00024078265170570897,0.9991823635923988,0.9991930941373983,0.9991823635923988,0.9991795729212823,0.9507825718669662,0.9334940613715274,0.9384321773844183
300,,5,0.0002252303046099287,0.9991585490284616,0.9991698020294919,0.9991585490284616,0.9991563834204242,0.9510739706139171,0.9332729265467782,0.9386395471647389
