n_estimators,max_depth,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
200,,2,0.000247023660114234,0.9960308941227715,0.9961398842873624,0.9960308941227715,0.9960358655038748,0.7960427662505619,0.7834288821714444,0.7708516979111548
200,20.0,2,0.0010777834892003262,0.9949671694560897,0.9953483081571686,0.9949671694560897,0.9950745148462241,0.7700945365851508,0.7868712196027414,0.765205268662869
300,,2,0.0001684394896100851,0.9960229563548959,0.9961426869642167,0.9960229563548959,0.9960340859417702,0.7950691884389214,0.7833913164930111,0.7702935958038616
500,,2,0.00022457137097582752,0.9959991414128747,0.9961210127626883,0.9959991414128747,0.996011317435809,0.7961861190786883,0.7833583432859299,0.7708957189036932
