class,precision,recall,f1,support
normal,0.6449671772428884,0.9712696941612604,0.7751797822066981,9711
dos,0.9609153165191248,0.7711796246648793,0.8556555365509035,7460
r2l,0.9339622641509434,0.03431542461005199,0.06619859578736209,2885
probe,0.8415512465373961,0.6274266831887649,0.7188831045906294,2421
u2r,0.5454545454545454,0.1791044776119403,0.2696629213483146,67
