n_neighbors,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
1,2,6.729395088625978e-05,0.9943003663291659,0.9944271322392726,0.9943003663291659,0.9943233951201595,0.7670431615891243,0.7364925807757723,0.7319296603879919
3,2,0.0004491300873523294,0.9931255085011635,0.9934812610659098,0.9931255085011635,0.9932472067109204,0.7055792529456867,0.7440023005723234,0.7088641485994102
5,2,0.0008532866199499355,0.9923316853344387,0.9929666467817033,0.9923316853344387,0.9925558711327283,0.6988411755130706,0.751350101458067,0.7021452937707848
7,2,0.0007971650761443018,0.9914346680345723,0.992397832816078,0.9914346680345723,0.9917748255164401,0.6813814341602704,0.7474487284389375,0.6874649804721951
11,2,0.0003144495040073638,0.9899819785005567,0.9914735145975531,0.9899819785005567,0.9905232557051329,0.6269427529461284,0.7495868160177697,0.6586312639961052
15,2,0.0002695611450056975,0.9884737190460773,0.9904500888930474,0.9884737190460773,0.9891677675948409,0.6117724606042744,0.7456872081999926,0.648013501451898
21,2,0.0004941063156139381,0.9868066938995981,0.9895380666901274,0.9868066938995981,0.9877487779011425,0.6013977920736331,0.7461051824964738,0.6399133594022064
