n_neighbors,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
1,5,0.00046849567470532517,0.9965627511617212,0.9965629070701274,0.9965627511617212,0.9965627676079152,0.9965414535466612,0.9965511957717637,0.9965462625630062
3,5,0.00028565068094101297,0.9958165644324195,0.9958170701955416,0.9958165644324195,0.9958165938934563,0.9957909543351328,0.9958025273810935,0.9957965153082089
5,5,0.0003014593857758215,0.9953085201917068,0.9953089554366926,0.9953085201917068,0.9953084545306969,0.9953011700800308,0.9952710779770296,0.9952858380113986
7,5,0.00040529683406056636,0.9946655269654021,0.9946666264773271,0.9946655269654021,0.9946653730863492,0.994670481187625,0.9946100976046885,0.9946395789259075
11,5,0.0006399297566749213,0.9934509826292128,0.9934519231551346,0.9934509826292128,0.9934507565083821,0.9934547632180278,0.9933847464787527,0.9934190516727478
15,5,0.0006660864151977064,0.9930064439973588,0.9930071854667059,0.9930064439973588,0.9930062351534842,0.9930024031040631,0.9929435880434921,0.9929724103652171
21,5,0.0008212658168862927,0.9922681887343655,0.9922686124021395,0.9922681887343655,0.9922680133516977,0.9922531761522999,0.9922089513829535,0.9922306727777549
