n_estimators,max_depth,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
200,,5,0.00024562044002024544,0.9981503986299891,0.9981512648058004,0.9981503986299891,0.9981503110998646,0.9981902043969338,0.9980935123006619,0.9981413326727031
200,20.0,5,0.0003001684728643396,0.9980472022912874,0.9980483286746835,0.9980472022912874,0.998047091664646,0.9980950051897322,0.9979815439545009,0.99803759420339
300,,5,0.00025007193802389303,0.998166274795895,0.9981671158738206,0.998166274795895,0.9981661898829988,0.9982050331361464,0.9981105684152789,0.9981572904130698
500,,5,0.00025319933363020843,0.9981662751109732,0.9981670366199561,0.9981662751109732,0.9981661921523562,0.9982038540513507,0.9981116714651626,0.9981572945441586
