class,precision,recall,f1,support
normal,0.6474499588703043,0.9726083822469365,0.7773982468414338,9711
dos,0.9640640313622999,0.7911528150134048,0.8690914445589751,7460
r2l,0.9019607843137255,0.015944540727902946,0.031335149863760216,2885
probe,0.8519774011299435,0.6228831061544816,0.719637318062515,2421
u2r,0.46153846153846156,0.08955223880597014,0.15,67
