n_estimators,max_depth,cv_folds,acc_std,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
200,,5,0.00018403272510731693,0.9980154480690056,0.9980231967664397,0.9980154480690056,0.9980142525895651,0.935935407786926,0.9338595092800818,0.9327120403780984
200,20.0,5,0.00037168655976275555,0.9978884374814448,0.9979094197260754,0.9978884374814448,0.9978937896062454,0.9233312279045325,0.9337173401009571,0.9268478933744987
300,,5,0.00023040512221377953,0.997967818941131,0.9979760633959511,0.997967818941131,0.9979670393668979,0.9353237202706254,0.9338133172538994,0.9323868856323475
500,,5,0.0002456193713817858,0.9979916344503031,0.9980005005073824,0.9979916344503031,0.9979918982809244,0.9318293839927219,0.9334829094426773,0.930875253054112
